,Unnamed: 0,sentiment,tweets
0,0,0,aw that a bummer you shoulda got david carr of third day to do it d
1,1,0,is upset that he cant updat his facebook by text it and might cri as a result school today also blah
2,2,0,i dive mani time for the ball manag to save the rest go out of bound
3,3,0,my whole bodi feel itchi and like its on fire
4,4,0,no its not behav at all im mad why am i here because i cant see you all over there
5,5,0,not the whole crew
6,6,0,need a hug
7,7,0,hey long time no see yes rain a bit only a bit lol im fine thank how you
8,8,0,nope they didnt have it
9,9,0,que me muera
10,10,0,spring break in plain citi its snow
11,11,0,i just repierc my ear
12,12,0,i couldnt bear to watch it and i thought the ua loss was embarrass
13,13,0,it it count idk why i did either you never talk to me anymor
14,14,0,i wouldv been the first but i didnt have a gun not realli though zac snyder just a doucheclown
15,15,0,i wish i got to watch it with you i miss you and how was the premier
16,16,0,holli death scene will hurt me sever to watch on film wri is director cut not out now
17,17,0,about to file tax
18,18,0,ahh ive alway want to see rent love the soundtrack
19,19,0,oh dear were you drink out of the forgotten tabl drink
20,20,0,i was out most of the day so didnt get much done
21,21,0,one of my friend call me and ask to meet with her at mid valley todaybut ive no time sigh
22,22,0,i bake you a cake but i ate it
23,23,0,this week is not go as i had hope
24,24,0,blagh class at tomorrow
25,25,0,i hate when i have to call and wake peopl up
26,26,0,just go to cri myself to sleep after watch marley and me
27,27,0,im sad now misslilli
28,28,0,oh lol that lesli and ok i wont do it again so lesli wont get mad again
29,29,0,meh almost lover is the except this track get me depress everi time
30,30,0,some hack my account on aim now i have to make a new one
31,31,0,i want to go to promot gear and groov but unforn no ride there i may b go to the one in anaheim in may though
32,32,0,thought sleep in was an option tomorrow but realiz that it now is not evalu in the morn and work in the afternoon
33,33,0,awe i love you too am here i miss you
34,34,0,i cri my asian eye to sleep at night
35,35,0,ok im sick and spent an hour sit in the shower caus i was too sick to stand and held back the puke like a champ bed now
36,36,0,ill tell ya the stori later not a good day and ill be workin for like three more hour
37,37,0,sorri bed time came here gmt
38,38,0,i dont either its depress i dont think i even want to know about the kid in suitcas
39,39,0,bed class work gym or then class anoth day that gonna fli by i miss my girlfriend
40,40,0,realli dont feel like get up today but got to studi to for tomorrow practic exam
41,41,0,hes the reason for the teardrop on my guitar the only one who has enough of me to break my heart
42,42,0,sad sad sad i dont know why but i hate this feel i wanna sleep and i still cant
43,43,0,aw i soo wish i was there to see you final comfort im sad that i miss it
44,44,0,fall asleep just heard about that traci girl bodi being found how sad my heart break for that famili
45,45,0,yay im happi for you with your job but that also mean less time for me and you
46,46,0,just check my user timelin on my blackberri it look like the twank is still happen are ppl still having prob w bgs and uid
47,47,0,oh manwa iron fave top to wear to a meet burnt it
48,48,0,is strang sad about lilo and samro break up
49,49,0,oh im so sorri i didnt think about that before retweet
50,50,0,broadband plan a massiv broken promis via still wait for broadband we are
51,51,0,wow ton of repli from you may have to unfollow so i can see my friend tweet your scroll the feed a lot
52,52,0,our duck and chicken are take way too long to hatch
53,53,0,put vacat photo onlin a few yrs ago pc crash and now i forget the name of the site
54,54,0,i need a hug
55,55,0,not sure what they are only that they are pos as much as i want to i dont think can trade away compani asset sorri andi
56,56,0,i hate when that happen
57,57,0,i have a sad feel that dalla is not go to show up i gotta say though youd think more show would use music from the game m
58,58,0,ugh degre tomorrow
59,59,0,where did u move to i thought u were alreadi in sd hm random u found me glad to hear yer doing well
60,60,0,i miss my ps its out of commiss wutcha play have you cop blood on the sand
61,61,0,just leav the park lot of work
62,62,0,the life is cool but not for me
63,63,0,sad though ive never gotten to experi the post coitus cigarett before and now i never will
64,64,0,i had such a nice day too bad the rain come in tomorrow at am
65,65,0,too bad i wont be around i lost my job and cant even pay my phone bill lmao aw shuck
66,66,0,damm back to school tomorrow
67,67,0,mo job no money how in the hell is min wage here fn clam an hour
68,68,0,not forev see you soon
69,69,0,agre i saw the failwhal al day today
70,70,0,oh haha dude i dont realli look at em unless someon say hey i ad you sorri im so terribl at that i need a pop up
71,71,0,im sure your right i need to start work out with you and the nikster or jare at least
72,72,0,i realli hate how peopl diss my band trace is clear not ugli
73,73,0,gym attir today was puma singlet adida shortsand black busi sock and leather shoe lucki did not run into any cute girl
74,74,0,why wont you show my locat
75,75,0,no picnic my phone smell like citrus
76,76,0,my donkey is sensit about such comment nevertheless hed and med be glad to see your mug asap charger is still awol
77,77,0,no new csi tonight fml
78,78,0,i think my arm are sore from tenni
79,79,0,wonder why someon that u like so much can make you so unhappi in a split seccond depress
80,80,0,sleep soon i just hate say bye and see you tomorrow for the night
